x
0 1
1 0 3.3927474100000001
2 1 55
3 0 1.29248125
4 0 1
5 0 1
6 0 0.5
7 0 1
8 0 3
9 0 1
10 -999 0.0026853850000000002
11 0.5 34
12 16.5 957.27272730000004
13 18.75 24715
14 0 15.67673435
15 3 571.08961380000005
16 0 10836.267
17 0 1
18 4 61
19 2 13
20 2 20
21 1 19
22 1 13
23 0 1
24 0 1
25 0 0.33333333300000001
26 0 1
27 0 1
28 0 1
29 0 1
30 0 1
31 0 0.9375
32 0 0.75
33 1 5
34 0 15
35 0 4.1336606900000001
36 0 0.93999999999999995
37 0 0.928571429
38 0 7.29
39 0 6.8600000000000003
40 1.77 7.29
41 0 6.5650000000000004
